aliquot	några	sv. kvot; eng. quote	(oböjligt)			f. alius (annan) + quot (quot? ~hur många?)	
post	efter		(ibland placeras prepositioner mellan de ord de hör till)	prep			La-cls-post.aac
mēnsis, mēnsis (m)	månad	sv. mens; fr. mois					
vir, virī (m)	man	sv. viril					La-cls-vir.aac
commūnis, -e	gemensam	sv. kommun, kommunion		adj			La-cls-communis.aac
amō (1)	älska	sv. amatör; fr. aimer		verb			La-cls-amo.aac
fōrsitan	kanske			adv			
etiam	även			adv		f. et (och, också) + iam (redan, nu)	La-cls-etiam.aac
aliqui(s), aliqua, aliquid/aliquod	någon, något		(pronomen som böjs oregelbundet, jfr quarta pars: qui)				
annus, -ī (m)	år	eng. annual					
iterum	åter	sv. iterera		adv			La-cls-iterum.aac
occidō, occidī, occīsum (3a)	döda, hugga ner, fälla(?)	eng. homicide		verb		f. ob ‎(“towards; facing”) + cadō ‎(“I fall”)	
portō (1)	bära, föra	eng. porter, portable; fr. porter		verb			La-cls-porto.aac
maneō, mānsī, mānsum (2)	stanna kvar; förbli	sv. permanent		verb			
vidua, -ae (f)	änka	eng. widow					
orbus, -a, -um	föräldralös			adj			
ūnus, -a, -um	en, ett	sv. unik		räkneord			La-cls-unus.aac
